機構名稱,縣市,縣市代碼,行政區,行政區代碼,地址全址,經度,緯度,特約服務項目,機構電話,電子郵件,機構負責人姓名,最後異動時間
健樂福生活事業股份有限公司,臺北市,63000,大安區,63000030,臺北市大安區民炤里仁愛路三段30號,121.5366974,25.03761292,輔具及居家無障礙環境服務,02-77462328,,楊恆碩,20190417 00:00:00
生通股份有限公司,臺北市,63000,中山區,63000040,臺北市中山區民權東路一段55號,121.5248871,25.06290627,交通接送服務,02-25997667,doreen@wcarsharing.com,陳金棍,20230202 11:02:49
臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理信義身障社區長照機構（日間照顧）,臺北市,63000,信義區,63000020,臺北市信義區西村里信義路５段15號５樓,121.5668488,25.0333271,日間照顧服務,02-27229933,minjungh1976@gmail.com,林正俠,20210121 15:05:20
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理民生身障社區長照機構（日間照顧）,臺北市,63000,松山區,63000010,臺北市松山區三民里松山民生東路五段163之1號,121.562767,25.05908585,日間照顧服務,02-27609605,eden3779@eden.org.tw,羅紀琼,20240125 15:54:26
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,新北市,65000,汐止區,65000110,新北市汐止區保安里大同路三段423號1樓,121.6774826,25.07164383,喘息服務,02-86488388,wba@hangan.org,胡世賢,20221229 21:57:30
財團法人伊甸社會福利基金會附設臺北市私立台北居家式服務類長期照顧服務機構,臺北市,63000,北投區,63000120,臺北市北投區裕民里裕民六路120號,121.5176468,25.11453438,居家服務,02-28210320#103,eden5580@eden.org.tw,羅紀琼,20220207 16:13:43
愛志股份有限公司附設臺北市私立愛志居家長照機構,臺北市,63000,南港區,63000090,臺北市南港區東新里重陽路120號3樓309室,121.5994797,25.05654907,居家服務,02-27882211,service@earth-want.com.tw,森山典明,20220207 15:59:34
財團法人弘道老人福利基金會附設臺北市私立弘道居家式服務類長期照顧服務機構,臺北市,63000,松山區,63000010,臺北市松山區民福里復興北路451號,121.5444794,25.06398392,居家服務,02-66131314,yvonne@hondao.org.tw,王乃弘,20211230 14:41:20
財團法人老五老基金會附設臺北市私立老五老居家式服務類長期照顧服務機構,臺北市,63000,北投區,63000120,臺北市北投區吉慶里石牌路1段14號3樓,121.5131073,25.11036682,居家服務,02-28929702,bt@ofo.org.tw,陳麗欣,20220207 16:14:40
財團法人臺北市松年長春社會福利基金會私立松年長春居家長照機構,臺北市,63000,中山區,63000040,臺北市中山區行仁里龍江路318巷5、7號1樓及5號地下室,121.5407028,25.06481743,居家服務,02-25000261,pinema@twdc.org.tw,黃春生,20211230 15:58:27
中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類長期照顧服務機構,臺北市,63000,士林區,63000110,臺北市士林區舊佳里中山北路5段699巷1號1樓,121.5269547,25.09767342,居家服務,02-27970880#208,rainbow@ccpc.com.tw,王謝怡貞,20211223 16:14:21
社團法人中國家庭教育協進會附設臺北市私立敬老居家式服務類長期照顧服務機構,臺北市,63000,中山區,63000040,臺北市中山區中山里松江路131之12號6樓,121.5332489,25.05424881,居家服務,02-25090266,chinesehomeservice@yahoo.com.tw,吳逸秋,20211230 15:57:48
社團法人中華民國士林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類長期照顧服務機構,臺北市,63000,士林區,63000110,臺北市士林區富光里延平北路五段83巷28弄11號,121.5091858,25.08159065,居家服務,02-28110515,homeservice@slsc.org.tw,劉群茂,20211230 11:12:47
財團法人台北市立心慈善基金會附設臺北市私立立心居家式服務類長期照顧服務機構,臺北市,63000,萬華區,63000070,臺北市萬華區頂碩里艋舺大道120巷39弄3號2樓,121.5023727,25.03202629,居家服務,02-23361555#21,lishin.home@gmail.com,洪金桐,20230206 08:54:00
財團法人獎卿護理展望基金會私立臺北居家長照機構,臺北市,63000,大安區,63000030,臺北市大安區龍坡里和平東路一段216號,121.5318604,25.02602959,居家服務,02-23646040#24,ccfhcn@yahoo.com.tw,王仁宏,20211230 11:09:29
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,臺北市,63000,大安區,63000030,臺北市大安區龍坡里新生南路3段20之1號2樓,121.5344238,25.02418327,居家服務,02-23637794,rct@seed.net.tw,董光世,20211230 11:20:39
社團法人台北市家庭照顧者關懷協會附設臺北市私立家協居家式服務類長期照顧服務機構,臺北市,63000,大安區,63000030,臺北市大安區黎孝里和平東路三段232號3樓,121.5546951,25.02204895,居家服務,02-27398737#17,service@carer.org.tw,盧雪華,20211223 16:01:49
財團法人宜蘭縣私立力麗社會福利慈善事業基金會附設臺北市私立力麗居家式服務類長期照顧服務機構,臺北市,63000,中正區,63000050,臺北市中正區南福里和平西路一段107號,121.5174332,25.02708435,居家服務,02-23938326,liyvonne@leadingage.com.tw,郭銓慶,20220207 16:02:40
社團法人中華民國紅心字會附設臺北市私立紅心居家式服務類長期照顧服務機構,臺北市,63000,中正區,63000050,臺北市中正區黎明里重慶南路一段43號3樓之2,121.5133896,25.04495621,居家服務,02-23700267,drolysun@gmail.com,劉緒倫,20220207 16:03:52
臺北市立聯合醫院居家式服務類長期照顧服務機構,臺北市,63000,大同區,63000060,臺北市大同區玉泉里鄭州路145號,121.5093231,25.05097008,居家服務,28353456-6380,B5646@tpech.gov.tw,蕭勝煌,20220104 18:46:27
財團法人恆安社會福利慈善事業基金會附設臺北市私立恆安居家式服務類長期照顧服務機構,臺北市,63000,大安區,63000030,臺北市大安區群賢里和平東路二段295號12樓,121.544693,25.02499199,居家服務,02-2333-1955,hanganhomecare@gmail.com,胡世賢,20211223 15:07:11
臺北市私立仁群居家長照機構,臺北市,63000,中山區,63000040,臺北市中山區下埤里民族東路512巷12號1樓,121.5419846,25.06753922,居家服務,02-25016299,kindhomeservice@gmail.com,劉昱森,20211230 15:54:03
財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟居家式服務類長期照顧服務機構,臺北市,63000,萬華區,63000070,臺北市萬華區保德里德昌街119號,121.4968491,25.02417946,居家服務,02-23098728,s8910009@gmail.com,鍾安住,20211230 14:59:22
有限責任臺北市育坊社區照護勞動合作社私立育坊居家長照機構,臺北市,63000,北投區,63000120,臺北市北投區中庸里大同街299號,121.4992371,25.1398201,居家服務,02-28957520,yfcare.coop@gmail.com,錢素明,20220207 15:39:52
社團法人愛福家協會附設新北市私立愛福家居家式服務類長期照顧服務機構,新北市,65000,板橋區,65000010,新北市板橋區雙十路二段217號4樓,121.4752655,25.03372765,居家服務,02-22500177,hr01@ilive.org.tw,涂林德媛,20231229 16:36:37
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,新北市,65000,汐止區,65000110,新北市汐止區保安里大同路三段423號1樓,121.6774826,25.07164383,居家服務,02-86488388,wba@hangan.org,胡世賢,20231229 16:50:24
新北市私立旺福居家長照機構,新北市,65000,三重區,65000020,新北市三重區溪美里福隆路48號1樓,121.4924774,25.07857895,居家服務,02-28571526,wfservice2@gmail.com,黃雅萍,20231229 17:20:17
新北市私立全曜居家式服務類長期照顧服務機構,新北市,65000,三重區,65000020,新北市三重區長江里長元街100之2號1、2樓,121.5028076,25.06678772,居家服務,02-29722060,chuanyao10704@gmail.com,黃明聖,20231229 17:27:38
臺北市私立安歆居家式服務類長期照顧服務機構,臺北市,63000,中山區,63000040,臺北市中山區興亞里松江路50號3樓,121.5326614,25.04817963,居家服務,02-25372586,crcanhsin@gmail.com,余建華,20231121 09:46:54
福田居家有限公司私立福田居家長照機構,臺北市,63000,信義區,63000020,臺北市信義區松光里忠孝東路5段492巷2號2樓,121.5783005,25.04051209,居家服務,02-27270065,futain@futaincare.com.tw,林永峰,20231229 15:50:00
臺北市私立大心居家長照機構,臺北市,63000,萬華區,63000070,臺北市萬華區富民里康定路348號2f-1,121.4925003,25.0255661,居家服務,02-23390179,284vup10761180131@gmail.com,趙重凱,20211230 15:06:00
社團法人台灣多元社會福利協會私立多福居家長照機構,臺北市,63000,北投區,63000120,臺北市北投區溫泉里溫泉路68之10號,121.5048065,25.13516617,居家服務,02-28927001,dofuhs@gmail.com,林政緯,20220207 16:17:14
私立愛吾愛居家長照機構,臺北市,63000,萬華區,63000070,臺北市萬華區大理街171號2樓201室,121.4963226,25.0341568,居家服務,02-23087286,n01d.iwoi@gmail.com,許惠容,20190729 14:19:41
臺北市私立安歆松江社區長照機構,臺北市,63000,中山區,63000040,臺北市中山區中央里松江路50號3樓,121.5326614,25.04817963,喘息服務,02-25371116,yaru42@gmail.com,張維庭,20221229 22:37:11
臺北市私立快樂之家社區式服務類長期照顧服務機構(家庭托顧),臺北市,63000,北投區,63000120,臺北市北投區溫泉里光明路240之4號,121.5076828,25.13619232,家庭托顧服務,02-28947640,ab0935220571@gmail.com,王桂英,20240206 11:06:31
臺北市私立大千之家社區式服務類長期照顧機構(家庭托顧),臺北市,63000,北投區,63000120,臺北市北投區中庸里雙全街48巷5號,121.5006714,25.13801575,家庭托顧服務,929314190,naro@ms66.url.com.tw,李元傑,20240206 10:59:18
